product,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,fenci,area_label,prod_label
进京乳腐,上海,市辖区,普陀区,31,3101,310107,进京 乳腐,进京,进京乳腐
上海顾绣,上海,市辖区,杨浦区,31,3101,310110,上海 顾绣,上海,上海顾绣
小杨生煎,上海,市辖区,杨浦区,31,3101,310110,小 杨生 煎,,小杨生煎
桂花栗子酥,上海,市辖区,杨浦区,31,3101,310110,桂花 栗子 酥,桂花,栗子酥
油炸凤尾鱼,上海,市辖区,杨浦区,31,3101,310110,油炸 凤尾鱼,油炸,凤尾鱼
油麻素鲍鱼,上海,市辖区,杨浦区,31,3101,310110,油麻 素 鲍鱼,油麻,素鲍鱼
猪油夹沙球,上海,市辖区,杨浦区,31,3101,310110,猪油 夹沙球,猪油,夹沙球
甜酸乳瓜,上海,市辖区,杨浦区,31,3101,310110,甜 酸乳 瓜,,甜酸乳瓜
美珍香猪肉脯,上海,市辖区,杨浦区,31,3101,310110,美珍香 猪肉脯,美珍香,猪肉脯
鸡饭煲,上海,市辖区,杨浦区,31,3101,310110,鸡 饭煲,,鸡饭煲
九亭酱菜,上海,市辖区,松江区,31,3101,310117,九亭 酱菜,九亭,九亭酱菜
佘山兰笋,上海,市辖区,松江区,31,3101,310117,佘山兰笋,,佘山兰笋
佘山水蜜桃,上海,市辖区,松江区,31,3101,310117,佘山 水蜜桃,佘山,水蜜桃
佘山笋豆,上海,市辖区,松江区,31,3101,310117,佘山笋 豆,,佘山笋豆
农家土糕,上海,市辖区,松江区,31,3101,310117,农家 土糕,农家,农家土糕
叶榭卤蛋,上海,市辖区,松江区,31,3101,310117,叶榭 卤蛋,叶榭,叶榭卤蛋
松江四鳃鲈,上海,市辖区,松江区,31,3101,310117,松江 四 鳃 鲈,松江,四鳃鲈
松江四鳃鲈鱼汤,上海,市辖区,松江区,31,3101,310117,松江 四鳃鲈鱼 汤,松江,四鳃鲈鱼汤
松江棉布,上海,市辖区,松江区,31,3101,310117,松江 棉布,松江,松江棉布
松江红菱,上海,市辖区,松江区,31,3101,310117,松江 红菱,松江,松江红菱
松江鲈鱼,上海,市辖区,松江区,31,3101,310117,松江鲈 鱼,,松江鲈鱼
松江黄桃,上海,市辖区,松江区,31,3101,310117,松江 黄桃,松江,松江黄桃
枣泥酥,上海,市辖区,松江区,31,3101,310117,枣泥 酥,,枣泥酥
老来青大米,上海,市辖区,松江区,31,3101,310117,老来 青 大米,老来,青大米
顾绣,上海,市辖区,松江区,31,3101,310117,顾绣,,顾绣
马弄口豆腐干,上海,市辖区,松江区,31,3101,310117,马 弄口 豆腐干,,马弄口豆腐干
麻糬,上海,市辖区,松江区,31,3101,310117,麻糬,,麻糬
黄浦江大闸蟹,上海,市辖区,松江区,31,3101,310117,黄浦江 大闸蟹,黄浦江,大闸蟹
上海卤鸭,上海,市辖区,浦东新区,31,3101,310115,上海 卤鸭,上海,上海卤鸭
上海清蒸大闸蟹,上海,市辖区,浦东新区,31,3101,310115,上海 清蒸 大闸蟹,上海,清蒸大闸蟹
上海酒酿汤圆,上海,市辖区,浦东新区,31,3101,310115,上海 酒酿汤圆,上海,酒酿汤圆
上海锅贴,上海,市辖区,浦东新区,31,3101,310115,上海 锅贴,上海,上海锅贴
包脚布,上海,市辖区,浦东新区,31,3101,310115,包脚 布,,包脚布
大团水蜜桃,上海,市辖区,浦东新区,31,3101,310115,大 团 水蜜桃,,大团水蜜桃
小绍兴白斩鸡,上海,市辖区,浦东新区,31,3101,310115,小绍兴 白斩鸡,小绍兴,白斩鸡
桂花糖藕,上海,市辖区,浦东新区,31,3101,310115,桂花 糖 藕,桂花,桂花糖藕
浦东三黄鸡,上海,市辖区,浦东新区,31,3101,310115,浦东 三黄鸡,浦东,三黄鸡
浦东白猪,上海,市辖区,浦东新区,31,3101,310115,浦东 白猪,浦东,浦东白猪
粢饭,上海,市辖区,浦东新区,31,3101,310115,粢 饭,,粢饭
糟田螺,上海,市辖区,浦东新区,31,3101,310115,糟 田螺,,糟田螺
绿波廊船点,上海,市辖区,浦东新区,31,3101,310115,绿波 廊 船点,绿波,廊船点
罗汉上素,上海,市辖区,浦东新区,31,3101,310115,罗汉 上素,罗汉,罗汉上素
虾子豆腐,上海,市辖区,浦东新区,31,3101,310115,虾子 豆腐,虾子,虾子豆腐
阳春面,上海,市辖区,浦东新区,31,3101,310115,阳春面,,阳春面
鸡肉生煎馒头,上海,市辖区,浦东新区,31,3101,310115,鸡肉 生煎馒头,鸡肉,生煎馒头
上海梨膏糖,上海,市辖区,虹口区,31,3101,310109,上海 梨膏糖,上海,梨膏糖
上海猪血扁,上海,市辖区,虹口区,31,3101,310109,上海 猪血 扁,上海,猪血扁
傻瓜干面,上海,市辖区,虹口区,31,3101,310109,傻瓜 干面,傻瓜,傻瓜干面
全蛋萨其马,上海,市辖区,虹口区,31,3101,310109,全蛋 萨其马,全蛋,萨其马
叶榭软糕,上海,市辖区,虹口区,31,3101,310109,叶榭软 糕,,叶榭软糕
