product,shangbiao_sign,nongchanpin_sign,baohu_sign,dili_sign,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,len,area_label,prod_label,,,
维西核桃,1,0,0,1,云南,迪庆,维西县,53,5334,533423,4,维西,核桃,2,2,4
维西百花蜜,1,0,1,1,云南,迪庆,维西县,53,5334,533423,5,维西,百花蜜,2,3,5
香格里拉松茸,0,0,1,1,云南,迪庆,香格里拉市,53,5334,533401,6,香格里拉,松茸,4,2,6
香格里拉青稞,0,1,0,1,云南,迪庆,香格里拉市,53,5334,533401,6,香格里拉,青稞,4,2,6
乌兰察布莜麦,0,1,0,1,内蒙古,乌兰察布,归口乌兰察布,15,1509,150999,6,乌兰察布,莜麦,4,2,6
丰镇月饼,1,0,0,1,内蒙古,乌兰察布,丰镇市,15,1509,150981,4,丰镇,月饼,2,2,4
凉城123苹果,0,1,0,1,内蒙古,乌兰察布,凉城县,15,1509,150925,7,凉城,123苹果,2,5,7
白糖罂荔枝,0,0,1,1,广东,茂名,茂南区,44,4409,440902,5,白糖,罂荔枝,2,3,5
化德大白菜,0,1,0,1,内蒙古,乌兰察布,化德县,15,1509,150922,5,化德,大白菜,2,3,5
卓资山熏鸡,1,0,0,1,内蒙古,乌兰察布,卓资县,15,1509,150921,5,卓资山,熏鸡,3,2,5
白马湖大闸蟹,0,1,0,1,江苏,淮安,金湖县,32,3208,320831,6,白马,湖大闸蟹,2,4,6
四子王旗戈壁羊,0,1,0,1,内蒙古,乌兰察布,四子王旗,15,1509,150929,7,四子王旗,戈壁羊,4,3,7
四子王旗杜蒙羊肉,0,1,0,1,内蒙古,乌兰察布,四子王旗,15,1509,150929,8,四子王旗,杜蒙羊肉,4,4,8
察右中旗红萝卜,1,0,1,1,内蒙古,乌兰察布,察右中旗,15,1509,150927,7,察右中旗,红萝卜,4,3,7
白旗韭黄,0,0,1,1,贵州,安顺,普定县,52,5204,520422,4,白旗,韭黄,2,2,4
乌兰察布马铃薯,1,1,0,1,内蒙古,乌兰察布,集宁区,15,1509,150902,7,乌兰察布,马铃薯,4,3,7
乌海葡萄,0,1,0,1,内蒙古,乌海,海勃湾区,15,1503,150302,4,,乌海葡萄,0,4,4
内蒙古肉苁蓉,0,0,1,1,内蒙古,乌海,海勃湾区,15,1503,150302,6,内蒙古,肉苁蓉,3,3,6
兴安盟大米,1,0,0,1,内蒙古,兴安,扎赉特旗,15,1522,152223,5,兴安盟,大米,3,2,5
扎赉特大米,0,1,0,1,内蒙古,兴安,扎赉特旗,15,1522,152223,5,扎赉特,大米,3,2,5
阿尔山黑木耳,0,1,0,1,内蒙古,兴安,阿尔山市,15,1522,152202,6,阿尔山,黑木耳,3,3,6
固阳燕麦,0,0,1,1,内蒙古,包头,固阳县,15,1502,150222,4,固阳,燕麦,2,2,4
达茂小红皮小麦,1,0,0,1,内蒙古,包头,达茂旗,15,1502,150223,7,达茂,小红皮小麦,2,5,7
达茂羊肉,0,0,1,1,内蒙古,包头,达茂旗,15,1502,150223,4,达茂,羊肉,2,2,4
达茂草原羊,1,0,0,1,内蒙古,包头,达茂旗,15,1502,150223,5,达茂,草原羊,2,3,5
达茂马铃薯,0,0,1,1,内蒙古,包头,达茂旗,15,1502,150223,5,达茂,马铃薯,2,3,5
扎兰屯大米,0,1,0,1,内蒙古,呼伦贝尔,扎兰屯市,15,1507,150783,5,扎兰屯,大米,3,2,5
扎兰屯榛子,0,1,0,1,内蒙古,呼伦贝尔,扎兰屯市,15,1507,150783,5,扎兰屯,榛子,3,2,5
