product,shangbiao_sign,nongchanpin_sign,baohu_sign,dili_sign,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,len,area_label,prod_label,,,,
海仔水牛,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,4,海仔,水牛,2,2,4,
甜芦粟,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,3,崇明,甜芦粟,2,3,3,
老毛蟹,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,3,崇明,老毛蟹,2,3,3,
老黑皮西瓜,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,5,,老黑皮西瓜,0,5,5,
脆皮鱼丝,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,4,脆皮,鱼丝,2,2,4,
草头圈子,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,4,草头,圈子,2,2,4,
虫草炖全鸭,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,5,虫草,炖全鸭,2,3,5,
虾子大乌参,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,5,虾子,大乌参,2,3,5,
昌平炸糕,0,0,0,0,北京,市辖区,昌平区,11,1101,110114,4,昌平,炸糕,2,2,4,
朝阳油条,0,0,0,0,北京,市辖区,朝阳区,11,1101,110105,4,朝阳,油条,2,2,4,
朝阳焦圈,0,0,0,0,北京,市辖区,朝阳区,11,1101,110105,4,朝阳,焦圈,2,2,4,
上海富春小笼,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,6,上海,富春小笼,2,4,6,
上海漆器,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,4,上海,漆器,2,2,4,
上海牙雕,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,4,上海,牙雕,2,2,4,
上海白肚,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,4,上海,白肚,2,2,4,
上海砚刻,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,4,上海,砚刻,2,2,4,
乌泥泾手工棉纺织品,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,9,乌泥,泾手工棉纺织品,2,7,9,
擂沙团,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,3,徐汇,擂沙团,2,3,3,
炒鳝糊,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,3,徐汇,炒鳝糊,2,3,3,
糯米团,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,3,徐汇,糯米团,2,3,3,
蟹粉烩鱼翅,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,5,蟹粉,烩鱼翅,2,3,5,
锅贴桂鱼,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,4,锅贴,桂鱼,2,2,4,
朝阳面人,0,0,0,0,北京,市辖区,朝阳区,11,1101,110105,4,朝阳,面人,2,2,4,
面拖蟹,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,3,徐汇,面拖蟹,2,3,3,
鸭肫肝,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,3,徐汇,鸭肫肝,2,3,3,
鸽蛋圆子,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,4,鸽蛋,圆子,2,2,4,
龙凤酸辣汤,0,0,0,0,上海,市辖区,徐汇区,31,3101,310104,5,龙凤,酸辣汤,2,3,5,
上海擂沙圆,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,5,上海,擂沙圆,2,3,5,
上海素菜包,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,5,上海,素菜包,2,3,5,
上海织绣,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,4,上海,织绣,2,2,4,
上海雕刻,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,4,上海,雕刻,2,2,4,
水晶肴肉,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,4,水晶,肴肉,2,2,4,
油氽馒头,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,4,,油氽馒头,0,4,4,
清蒸螃蟹,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,4,清蒸,螃蟹,2,2,4,
灌汤蟹粉虾球,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,6,灌汤,蟹粉虾球,2,4,6,
瓦缸焖肉,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,4,瓦缸,焖肉,2,2,4,
菠萝香芋泥,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,5,菠萝,香芋泥,2,3,5,
进京乳腐,0,0,0,0,上海,市辖区,普陀区,31,3101,310107,4,进京,乳腐,2,2,4,
上海顾绣,0,0,0,0,上海,市辖区,杨浦区,31,3101,310110,4,上海,顾绣,2,2,4,
小杨生煎,0,0,0,0,上海,市辖区,杨浦区,31,3101,310110,4,,小杨生煎,0,4,4,
桂花栗子酥,0,0,0,0,上海,市辖区,杨浦区,31,3101,310110,5,桂花,栗子酥,2,3,5,
油炸凤尾鱼,0,0,0,0,上海,市辖区,杨浦区,31,3101,310110,5,油炸,凤尾鱼,2,3,5,
油麻素鲍鱼,0,0,0,0,上海,市辖区,杨浦区,31,3101,310110,5,油麻,素鲍鱼,2,3,5,
猪油夹沙球,0,0,0,0,上海,市辖区,杨浦区,31,3101,310110,5,猪油,夹沙球,2,3,5,
甜酸乳瓜,0,0,0,0,上海,市辖区,杨浦区,31,3101,310110,4,,甜酸乳瓜,0,4,4,
美珍香猪肉脯,0,0,0,0,上海,市辖区,杨浦区,31,3101,310110,6,美珍香,猪肉脯,3,3,6,
鸡饭煲,0,0,0,0,上海,市辖区,杨浦区,31,3101,310110,3,杨浦,鸡饭煲,2,3,3,
九亭酱菜,0,0,0,0,上海,市辖区,松江区,31,3101,310117,4,九亭,酱菜,2,2,4,
佘山兰笋,0,0,0,0,上海,市辖区,松江区,31,3101,310117,4,佘山,兰笋,2,2,4,
佘山水蜜桃,0,0,0,0,上海,市辖区,松江区,31,3101,310117,5,佘山,水蜜桃,2,3,5,
佘山笋豆,0,0,0,0,上海,市辖区,松江区,31,3101,310117,4,佘山,笋豆,2,2,4,
农家土糕,0,0,0,0,上海,市辖区,松江区,31,3101,310117,4,松江,农家土糕,2,4,4,
叶榭卤蛋,0,0,0,0,上海,市辖区,松江区,31,3101,310117,4,叶榭,卤蛋,2,2,4,
松江四鳃鲈,0,0,0,0,上海,市辖区,松江区,31,3101,310117,5,松江,四鳃鲈,2,3,5,
松江棉布,0,0,0,0,上海,市辖区,松江区,31,3101,310117,4,松江,棉布,2,2,4,
松江红菱,0,0,0,0,上海,市辖区,松江区,31,3101,310117,4,松江,红菱,2,2,4,
松江鲈鱼,0,0,0,0,上海,市辖区,松江区,31,3101,310117,4,松江,松江鲈鱼,2,4,4,
松江黄桃,0,0,0,0,上海,市辖区,松江区,31,3101,310117,4,松江,黄桃,2,2,4,
枣泥酥,0,0,0,0,上海,市辖区,松江区,31,3101,310117,3,松江,枣泥酥,2,3,3,
